,home_team,away_team,home_goals_x,away_goals_x,date_x,round,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,season,Expected Goals (xG)_home,Expected Goals (xG)_away,Clearances Completed_home,Clearances Completed_away,home_goals_y,away_goals_y,date_y,referee,stadium,capacity,attendance,stadium name,stadium city,Stadium,Club,Location,Opened,Closed,Capacity,Pitch length m,Pitch width m,latitude,longitude,longitude_decimal,latitude_decimal,transformed_date,weather_temperature_[C],weather_precipitation_[mm],weather_wind_[km/h],weather_humidity_[%],weather_cloud_cover_[%],sum_of_goals
556,Brighton,Bournemouth,1,0,04.02.2023 16:00,22,72,28,20,12,6,2,7,7,7,3,6,13,7,3,0,1,15,19,2,5,14,7,3,1,682,264,609,191,17,20,143,70,84,38,0,0,22-23,-1.0,-1.0,0,0,1,0,04.02.2023 16:00,Pawson C. (Eng),Amex Stadium (Brighton),31 876,31 600,Amex Stadium,Brighton,Falmer Stadium,Brighton,Falmer,2011,,31876,105.0,68.0,50°51′42.56″N,00°04′59.8″W,-0.0832777777777777,50.86182222222222,2023-02-04T16:00,8.5,0.0,8.6,69,87,1
557,Manchester Utd,Crystal Palace,2,1,04.02.2023 16:00,22,54,46,14,10,5,3,5,5,4,2,11,9,5,5,1,4,20,27,2,3,9,9,1,2,487,426,416,342,19,16,116,83,66,46,1,0,22-23,-1.0,-1.0,0,0,2,1,04.02.2023 16:00,Marriner A. (Eng),Old Trafford (Manchester),75 635,73 420,Old Trafford,Manchester,Old Trafford,Manchester Utd,Manchester,1910,,74031,105.0,68.0,53°27′47″N,002°17′29″W,-2.2913888888888887,53.46305555555556,2023-02-04T16:00,9.3,0.0,13.5,79,100,3
558,Wolves,Liverpool,3,0,04.02.2023 16:00,22,42,58,12,22,6,4,5,8,1,10,10,8,2,7,1,2,14,33,4,3,9,7,1,1,407,544,305,465,15,10,85,121,22,64,0,0,22-23,-1.0,-1.0,0,0,3,0,04.02.2023 16:00,Tierney P. (Eng),Molineux Stadium (Wolverhampton),31 750,31 664,Molineux Stadium,Wolverhampton,Molineux Stadium,Wolves,Wolverhampton,1889,,31750,105.0,68.0,52°35′25″N,002°07′49″W,-2.1302777777777777,52.59027777777778,2023-02-04T16:00,8.6,0.0,12.0,81,67,3
559,Everton,Arsenal,1,0,04.02.2023 13:30,22,30,70,12,15,4,3,5,7,3,5,8,14,7,5,3,0,17,23,3,3,13,8,4,1,252,639,180,553,18,14,86,126,49,74,0,0,22-23,-1.0,-1.0,0,0,1,0,04.02.2023 13:30,Coote D. (Eng),Goodison Park (Liverpool),39 572,39 314,Goodison Park,Liverpool,Goodison Park,Everton,Liverpool,1892,,39414,100.48,68.0,53°26′20″N,002°57′59″W,-2.966388888888889,53.43888888888888,2023-02-04T13:30,9.3,0.1,12.6,82,100,1
560,Chelsea,Fulham,0,0,03.02.2023 21:00,22,67,33,12,10,3,4,7,3,2,3,12,20,6,2,3,0,20,20,4,3,16,12,1,4,662,313,568,226,24,19,117,115,53,42,0,0,22-23,-1.0,-1.0,0,0,0,0,03.02.2023 21:00,Attwell S. (Eng),Stamford Bridge (London),40 341,40 041,Stamford Bridge,London,Stamford Bridge,Chelsea,London,1877,,40173,103.0,67.5,51°28′54″N,000°11′28″W,-0.1911111111111111,51.48166666666667,2023-02-03T21:00,7.8,0.0,8.7,93,90,0
561,Fulham,Tottenham,0,1,23.01.2023 21:15,21,53,47,10,10,5,3,4,4,1,3,8,12,3,8,2,0,29,19,2,5,10,10,1,3,485,446,398,349,19,23,64,53,24,13,0,0,22-23,-1.0,-1.0,0,0,0,1,23.01.2023 21:15,Tierney P. (Eng),Craven Cottage (London),26 600,24 190,Craven Cottage,London,Craven Cottage,Fulham,London,1896,,24500,100.0,65.0,51°28′30″N,000°13′18″W,-0.2216666666666666,51.475,2023-01-23T21:15,1.4,0.0,6.6,93,93,1
562,Arsenal,Manchester Utd,3,2,22.01.2023 17:30,21,57,43,25,6,5,4,7,0,13,2,13,9,12,4,1,4,11,17,2,2,8,9,1,2,520,396,423,307,21,21,102,81,91,30,0,0,22-23,-1.0,-1.0,0,0,3,2,22.01.2023 17:30,Taylor A. (Eng),Emirates Stadium (London),60 704,60 325,Emirates Stadium,London,Emirates Stadium,Arsenal,London,2006,,60704,105.0,68.0,51°33′18″N,000°06′31″W,-0.1086111111111111,51.555,2023-01-22T17:30,-0.6,0.0,3.5,95,34,5
563,Leeds,Brentford,0,0,22.01.2023 15:00,21,59,41,9,6,5,0,1,5,3,1,16,11,2,3,1,1,25,23,0,5,10,18,2,2,501,346,369,223,17,14,118,99,69,36,0,0,22-23,-1.0,-1.0,0,0,0,0,22.01.2023 15:00,Bankes P. (Eng),Elland Road (Leeds),37 792,36 260,Elland Road,Leeds,Elland Road,Leeds,Leeds,1897,,37608,105.0,68.0,53°46′40″N,001°34′20″W,-1.5722222222222222,53.77777777777778,2023-01-22T15:00,3.5,0.0,3.5,78,100,0
564,Manchester City,Wolves,3,0,22.01.2023 15:00,21,55,45,13,10,7,1,5,5,1,4,8,10,5,7,1,0,12,13,1,4,10,10,1,2,587,478,526,409,8,15,112,86,68,35,0,0,22-23,-1.0,-1.0,0,0,3,0,22.01.2023 15:00,Coote D. (Eng),Etihad Stadium (Manchester),55 097,53 282,Etihad Stadium,Manchester,City of Manchester Stadium,Manchester City,Manchester,2003[17],,53400,105.0,68.0,53°28′59″N,002°12′01″W,-2.200277777777778,53.48305555555556,2023-01-22T15:00,3.4,0.0,8.0,82,100,3
565,Crystal Palace,Newcastle,0,0,21.01.2023 18:30,21,39,61,6,16,1,7,1,7,4,2,8,11,3,15,0,1,23,16,7,1,13,7,4,2,316,488,212,386,29,19,94,104,33,72,0,0,22-23,-1.0,-1.0,0,0,0,0,21.01.2023 18:30,Pawson C. (Eng),Selhurst Park (London),25 486,25 350,Selhurst Park,London,Selhurst Park,Crystal Palace,London,1924,,25486,101.0,68.0,51°23′54″N,000°05′08″W,-0.0855555555555555,51.39833333333333,2023-01-21T18:30,0.8,0.0,6.2,91,0,0
566,Bournemouth,Nottingham,1,1,21.01.2023 16:00,21,43,57,16,20,4,5,8,11,4,4,10,11,4,6,2,2,18,19,4,3,10,7,1,2,366,485,265,388,11,21,104,132,42,55,0,0,22-23,-1.0,-1.0,0,0,1,1,21.01.2023 16:00,Madley A. (Eng),Vitality Stadium (Bournemouth),11 307,10 248,Vitality Stadium,Bournemouth,Dean Court,Bournemouth,Bournemouth,1910,,11307,105.0,68.0,50°44′07″N,1°50′18″W,-1.8383333333333332,50.73527777777778,2023-01-21T16:00,3.9,0.0,7.2,81,29,2
567,Leicester,Brighton,2,2,21.01.2023 16:00,21,36,64,9,13,2,4,2,6,5,3,11,9,5,6,0,2,20,22,2,0,9,9,0,1,369,637,293,565,16,11,69,111,29,60,0,0,22-23,-1.0,-1.0,0,0,2,2,21.01.2023 16:00,Bramall T. (Eng),King Power Stadium (Leicester),32 261,32 056,King Power Stadium,Leicester,King Power StadiumFormerly Walkers Stadium,Leicester,Leicester,2002,,32262,105.0,68.0,52°37′13″N,001°08′32″W,-1.1422222222222222,52.62027777777778,2023-01-21T16:00,-0.6,0.0,9.2,87,0,4
568,Southampton,Aston Villa,0,1,21.01.2023 16:00,21,37,63,8,16,5,5,2,8,1,3,9,22,2,2,3,0,16,21,4,5,19,9,1,2,322,566,228,456,25,19,102,141,28,46,0,0,22-23,-1.0,-1.0,0,0,0,1,21.01.2023 16:00,Salisbury M. (Eng),St. Mary's Stadium (Southampton),32 384,30 158,St. Mary's Stadium,Southampton,St Mary's Stadium,Southampton,Southampton,2001,,32384,105.0,68.0,50°54′21″N,001°23′28″W,-1.3911111111111112,50.90583333333333,2023-01-21T16:00,0.7,0.0,9.6,85,6,1
569,West Ham,Everton,2,0,21.01.2023 16:00,21,32,68,11,5,4,2,4,1,3,2,8,10,4,9,1,2,15,12,2,2,9,6,1,1,346,729,275,639,17,19,107,132,39,61,0,0,22-23,-1.0,-1.0,0,0,2,0,21.01.2023 16:00,Attwell S. (Eng),London Stadium (London),62 500,62 470,London Stadium,London,London StadiumFormerly Olympic Stadium,West Ham,London,2016[28],,62500,105.0,68.0,51°32′19″N,0°0′59″W,-0.0163888888888888,51.53861111111111,2023-01-21T16:00,2.8,0.0,7.2,88,24,2
570,Liverpool,Chelsea,0,0,21.01.2023 13:30,21,48,52,15,11,3,2,6,6,6,3,9,19,5,5,5,1,22,20,2,3,16,9,3,1,477,540,375,436,18,21,129,81,62,38,0,0,22-23,-1.0,-1.0,0,0,0,0,21.01.2023 13:30,Oliver M. (Eng),Anfield (Liverpool),61 276,53 126,Anfield,Liverpool,Anfield,Liverpool,Liverpool,1884,,61276,101.0,68.0,53°25′51″N,002°57′39″W,-2.960833333333333,53.43083333333333,2023-01-21T13:30,2.4,0.0,23.2,83,100,0
571,Manchester City,Tottenham,4,2,19.01.2023 21:00,7,58,42,16,9,6,3,5,4,5,2,15,10,8,3,0,1,22,15,1,2,10,14,1,2,583,424,511,342,15,16,124,65,63,33,0,0,22-23,-1.0,-1.0,0,0,4,2,19.01.2023 21:00,Hooper S. (Eng),Etihad Stadium (Manchester),55 097,53 088,Etihad Stadium,Manchester,City of Manchester Stadium,Manchester City,Manchester,2003[17],,53400,105.0,68.0,53°28′59″N,002°12′01″W,-2.200277777777778,53.48305555555556,2023-01-19T21:00,3.1,0.1,16.0,83,37,6
572,Crystal Palace,Manchester Utd,1,1,18.01.2023 21:00,7,39,61,10,15,5,4,3,8,2,3,6,8,3,3,0,1,22,18,3,4,9,10,1,2,399,626,294,509,24,32,103,126,46,64,0,0,22-23,-1.0,-1.0,0,0,1,1,18.01.2023 21:00,Jones R. (Eng),Selhurst Park (London),25 486,35 853,Selhurst Park,London,Selhurst Park,Crystal Palace,London,1924,,25486,101.0,68.0,51°23′54″N,000°05′08″W,-0.0855555555555555,51.39833333333333,2023-01-18T21:00,-0.9,0.0,13.0,93,0,2
573,Tottenham,Arsenal,0,2,15.01.2023 17:30,20,51,49,17,14,7,5,4,5,6,4,16,13,4,3,1,2,28,19,3,7,16,15,4,2,461,456,381,384,17,13,92,121,46,65,0,0,22-23,-1.0,-1.0,0,0,0,2,15.01.2023 17:30,Pawson C. (Eng),Tottenham Hotspur Stadium (London),62 850,61 870,Tottenham Hotspur Stadium,London,Tottenham Hotspur Stadium,Tottenham,London,2019,,62850,105.0,68.0,51°36′17″N,000°03′59″W,-0.0663888888888888,51.60472222222222,2023-01-15T17:30,4.7,0.0,14.3,80,5,2
574,Chelsea,Crystal Palace,1,0,15.01.2023 15:00,20,63,37,15,10,5,5,5,2,5,3,17,12,11,7,3,1,14,28,5,4,10,17,2,5,579,335,490,249,33,24,122,106,76,65,0,0,22-23,-1.0,-1.0,0,0,1,0,15.01.2023 15:00,Bankes P. (Eng),Stamford Bridge (London),40 341,40 075,Stamford Bridge,London,Stamford Bridge,Chelsea,London,1877,,40173,103.0,67.5,51°28′54″N,000°11′28″W,-0.1911111111111111,51.48166666666667,2023-01-15T15:00,7.0,0.0,17.6,71,15,1
575,Newcastle,Fulham,1,0,15.01.2023 15:00,20,62,38,20,5,5,0,7,4,8,1,12,6,10,5,2,3,22,19,0,4,6,14,1,3,449,270,369,189,18,17,121,69,60,26,0,0,22-23,-1.0,-1.0,0,0,1,0,15.01.2023 15:00,Jones R. (Eng),St. James' Park (Newcastle),52 305,52 247,St. James' Park,Newcastle,St James' Park,Newcastle,Newcastle upon Tyne,1880,,52257,105.0,68.0,54°58′32″N,001°37′18″W,-1.6216666666666666,54.97555555555556,2023-01-15T15:00,5.0,0.0,16.9,76,22,1
576,Brentford,Bournemouth,2,0,14.01.2023 18:30,20,50,50,12,7,4,2,7,3,1,2,9,7,5,3,2,1,24,21,2,2,5,9,1,1,426,435,314,329,20,19,123,87,49,49,0,0,22-23,-1.0,-1.0,0,0,2,0,14.01.2023 18:30,Gillett J. (Aus),Brentford Community Stadium (London),17 250,17 031,Brentford Community Stadium,London,Brentford Community Stadium,Brentford,London,2020,,17250,105.0,68.0,51°29′26.97″N,0°17′19.32″W,-0.2887,51.490825,2023-01-14T18:30,7.2,0.0,23.9,70,90,2
577,Brighton,Liverpool,3,0,14.01.2023 16:00,20,62,38,16,6,9,2,3,3,4,1,13,13,7,1,4,2,20,12,2,6,8,15,1,3,650,420,554,321,15,19,78,70,56,22,0,0,22-23,-1.0,-1.0,0,0,3,0,14.01.2023 16:00,England D. (Eng),Amex Stadium (Brighton),31 876,31 645,Amex Stadium,Brighton,Falmer Stadium,Brighton,Falmer,2011,,31876,105.0,68.0,50°51′42.56″N,00°04′59.8″W,-0.0832777777777777,50.86182222222222,2023-01-14T16:00,9.2,0.3,28.5,87,100,3
578,Everton,Southampton,1,2,14.01.2023 16:00,20,53,47,12,13,4,5,5,2,3,6,21,10,6,4,3,2,18,18,3,3,7,19,0,3,395,369,287,246,10,17,117,67,42,33,0,0,22-23,-1.0,-1.0,0,0,1,2,14.01.2023 16:00,Brooks J. (Eng),Goodison Park (Liverpool),39 572,39 305,Goodison Park,Liverpool,Goodison Park,Everton,Liverpool,1892,,39414,100.48,68.0,53°26′20″N,002°57′59″W,-2.966388888888889,53.43888888888888,2023-01-14T16:00,5.6,0.0,38.9,72,75,3
579,Nottingham,Leicester,2,0,14.01.2023 16:00,20,39,61,15,6,5,1,4,3,6,2,13,13,3,5,2,1,15,26,1,3,11,12,1,2,345,547,259,441,14,12,98,81,41,46,0,0,22-23,-1.0,-1.0,0,0,2,0,14.01.2023 16:00,Tierney P. (Eng),City Ground (Nottingham),30 404,29 301,City Ground,Nottingham,City Ground,Nottingham,Nottingham,1898,,30404,105.0,68.0,52°56′24″N,001°07′58″W,-1.132777777777778,52.94,2023-01-14T16:00,6.1,0.0,27.0,72,32,2
580,Wolves,West Ham,1,0,14.01.2023 16:00,20,58,42,17,16,4,4,6,5,7,7,8,14,4,3,4,1,20,22,4,3,10,7,0,2,548,369,452,287,16,10,78,98,39,54,0,0,22-23,-1.0,-1.0,0,0,1,0,14.01.2023 16:00,Hooper S. (Eng),Molineux Stadium (Wolverhampton),31 750,31 511,Molineux Stadium,Wolverhampton,Molineux Stadium,Wolves,Wolverhampton,1889,,31750,105.0,68.0,52°35′25″N,002°07′49″W,-2.1302777777777777,52.59027777777778,2023-01-14T16:00,5.1,0.0,27.2,73,44,1
581,Manchester Utd,Manchester City,2,1,14.01.2023 13:30,20,30,70,8,5,4,1,1,2,3,2,7,21,1,2,6,2,14,13,0,2,15,5,3,0,310,737,230,658,15,6,48,135,20,65,0,0,22-23,-1.0,-1.0,0,0,2,1,14.01.2023 13:30,Attwell S. (Eng),Old Trafford (Manchester),75 635,75 546,Old Trafford,Manchester,Old Trafford,Manchester Utd,Manchester,1910,,74031,105.0,68.0,53°27′47″N,002°17′29″W,-2.2913888888888887,53.46305555555556,2023-01-14T13:30,6.9,0.0,26.0,81,60,3
582,Aston Villa,Leeds,2,1,13.01.2023 21:00,20,54,46,11,16,5,4,4,4,2,8,23,14,0,11,2,5,27,38,3,3,12,18,2,2,421,341,305,236,28,27,103,113,28,53,0,0,22-23,-1.0,-1.0,0,0,2,1,13.01.2023 21:00,Oliver M. (Eng),Villa Park (Birmingham),42 789,42 008,Villa Park,Birmingham,Villa Park,Aston Villa,Birmingham,1897,,42530,105.0,68.0,52°30′33″N,001°53′05″W,-1.8847222222222224,52.509166666666665,2023-01-13T21:00,5.4,0.0,20.6,79,89,3
583,Fulham,Chelsea,2,1,12.01.2023 21:00,7,48,52,8,20,3,10,3,3,2,7,19,14,5,7,3,3,33,13,9,1,12,16,4,3,451,495,363,403,11,17,118,92,50,37,0,1,22-23,-1.0,-1.0,0,0,2,1,12.01.2023 21:00,Coote D. (Eng),Craven Cottage (London),26 600,24 460,Craven Cottage,London,Craven Cottage,Fulham,London,1896,,24500,100.0,65.0,51°28′30″N,000°13′18″W,-0.2216666666666666,51.475,2023-01-12T21:00,7.3,0.0,29.4,76,5,3
584,Chelsea,Manchester City,0,1,05.01.2023 21:00,19,48,52,8,12,2,3,3,6,3,3,9,10,3,2,2,1,16,17,2,2,9,9,2,0,553,612,471,548,28,19,93,127,47,67,0,0,22-23,-1.0,-1.0,0,0,0,1,05.01.2023 21:00,Tierney P. (Eng),Stamford Bridge (London),40 341,39 998,Stamford Bridge,London,Stamford Bridge,Chelsea,London,1877,,40173,103.0,67.5,51°28′54″N,000°11′28″W,-0.1911111111111111,51.48166666666667,2023-01-05T21:00,11.2,0.0,28.9,85,100,1
585,Aston Villa,Wolves,1,1,04.01.2023 21:00,19,56,44,13,10,4,3,3,4,6,3,15,6,7,8,1,4,19,14,2,3,6,12,1,3,491,383,430,321,11,29,110,62,68,34,0,0,22-23,-1.0,-1.0,0,0,1,1,04.01.2023 21:00,Gillett J. (Aus),Villa Park (Birmingham),42 789,39 978,Villa Park,Birmingham,Villa Park,Aston Villa,Birmingham,1897,,42530,105.0,68.0,52°30′33″N,001°53′05″W,-1.8847222222222224,52.509166666666665,2023-01-04T21:00,9.8,0.0,23.8,86,71,2
586,Crystal Palace,Tottenham,0,4,04.01.2023 21:00,19,47,53,19,14,4,6,9,3,6,5,9,11,10,4,1,2,13,15,2,4,11,8,1,2,472,545,387,470,22,22,113,86,71,43,0,0,22-23,-1.0,-1.0,0,0,0,4,04.01.2023 21:00,Oliver M. (Eng),Selhurst Park (London),25 486,25 132,Selhurst Park,London,Selhurst Park,Crystal Palace,London,1924,,25486,101.0,68.0,51°23′54″N,000°05′08″W,-0.0855555555555555,51.39833333333333,2023-01-04T21:00,9.9,0.0,26.1,83,95,4
587,Leeds,West Ham,2,2,04.01.2023 20:45,19,63,37,14,15,6,2,6,11,2,2,17,13,8,1,3,3,24,24,0,4,11,18,3,1,476,275,377,172,19,19,102,94,49,47,0,0,22-23,-1.0,-1.0,0,0,2,2,04.01.2023 20:45,Coote D. (Eng),Elland Road (Leeds),37 792,36 173,Elland Road,Leeds,Elland Road,Leeds,Leeds,1897,,37608,105.0,68.0,53°46′40″N,001°34′20″W,-1.5722222222222222,53.77777777777778,2023-01-04T20:45,9.4,0.1,30.0,84,100,4
588,Southampton,Nottingham,0,1,04.01.2023 20:30,19,62,38,8,11,0,1,6,9,2,1,15,15,6,2,1,0,29,15,0,0,14,17,2,2,468,283,365,180,14,22,133,81,55,31,0,0,22-23,-1.0,-1.0,0,0,0,1,04.01.2023 20:30,Bramall T. (Eng),St. Mary's Stadium (Southampton),32 384,-1,St. Mary's Stadium,Southampton,St Mary's Stadium,Southampton,Southampton,2001,,32384,105.0,68.0,50°54′21″N,001°23′28″W,-1.3911111111111112,50.90583333333333,2023-01-04T20:30,10.3,0.0,19.1,84,87,1
589,Manchester Utd,Bournemouth,3,0,03.01.2023 21:00,19,59,41,18,7,6,4,6,2,6,1,7,11,6,5,0,2,13,10,4,3,13,7,0,3,579,405,495,321,9,18,122,78,59,40,0,0,22-23,-1.0,-1.0,0,0,3,0,03.01.2023 21:00,Salisbury M. (Eng),Old Trafford (Manchester),75 635,73 322,Old Trafford,Manchester,Old Trafford,Manchester Utd,Manchester,1910,,74031,105.0,68.0,53°27′47″N,002°17′29″W,-2.2913888888888887,53.46305555555556,2023-01-03T21:00,11.6,1.1,24.0,91,100,3
590,Arsenal,Newcastle,0,0,03.01.2023 20:45,19,67,33,17,8,4,1,8,5,5,2,19,11,5,5,1,4,13,11,1,4,10,16,4,4,536,253,460,181,13,23,127,71,70,43,0,0,22-23,-1.0,-1.0,0,0,0,0,03.01.2023 20:45,Madley A. (Eng),Emirates Stadium (London),60 704,60 319,Emirates Stadium,London,Emirates Stadium,Arsenal,London,2006,,60704,105.0,68.0,51°33′18″N,000°06′31″W,-0.1086111111111111,51.555,2023-01-03T20:45,11.1,0.2,34.2,90,100,0
591,Everton,Brighton,1,4,03.01.2023 20:45,19,49,51,10,19,4,8,5,6,1,5,9,9,5,2,1,0,16,20,4,3,8,10,3,1,478,512,419,437,16,15,103,96,39,38,0,0,22-23,-1.0,-1.0,0,0,1,4,03.01.2023 20:45,Marriner A. (Eng),Goodison Park (Liverpool),39 572,39 103,Goodison Park,Liverpool,Goodison Park,Everton,Liverpool,1892,,39414,100.48,68.0,53°26′20″N,002°57′59″W,-2.966388888888889,53.43888888888888,2023-01-03T20:45,11.4,0.5,20.9,90,100,5
592,Leicester,Fulham,0,1,03.01.2023 20:45,19,61,39,15,11,6,2,6,7,3,2,11,11,6,3,0,1,25,28,1,6,12,11,2,6,551,348,449,263,17,13,130,81,46,39,0,0,22-23,-1.0,-1.0,0,0,0,1,03.01.2023 20:45,Bond D. (Eng),King Power Stadium (Leicester),32 261,30 813,King Power Stadium,Leicester,King Power StadiumFormerly Walkers Stadium,Leicester,Leicester,2002,,32262,105.0,68.0,52°37′13″N,001°08′32″W,-1.1422222222222222,52.62027777777778,2023-01-03T20:45,11.5,0.1,31.6,91,100,1
593,Brentford,Liverpool,3,1,02.01.2023 18:30,19,27,73,10,16,7,6,2,3,1,7,12,12,4,9,7,4,14,28,5,4,5,8,1,3,237,652,118,643,17,9,66,133,29,62,0,0,22-23,-1.0,-1.0,0,0,3,1,02.01.2023 18:30,Attwell S. (Eng),Brentford Community Stadium (London),17 250,17 163,Brentford Community Stadium,London,Brentford Community Stadium,Brentford,London,2020,,17250,105.0,68.0,51°29′26.97″N,0°17′19.32″W,-0.2887,51.490825,2023-01-02T18:30,2.8,0.0,7.4,92,1,4
594,Nottingham,Chelsea,1,1,01.01.2023 17:30,18,28,72,12,7,5,2,4,2,3,3,15,17,1,2,2,2,21,20,1,4,16,14,2,2,256,697,196,623,18,16,65,116,41,38,0,0,22-23,-1.0,-1.0,0,0,1,1,01.01.2023 17:30,Bankes P. (Eng),City Ground (Nottingham),30 404,29 229,City Ground,Nottingham,City Ground,Nottingham,Nottingham,1898,,30404,105.0,68.0,52°56′24″N,001°07′58″W,-1.132777777777778,52.94,2023-01-01T17:30,9.0,0.0,17.6,81,60,2
595,Tottenham,Aston Villa,0,2,01.01.2023 15:00,18,59,41,6,13,2,4,2,4,2,5,9,17,5,3,1,0,21,21,2,2,15,10,4,3,579,403,498,321,14,18,121,91,56,26,0,0,22-23,-1.0,-1.0,0,0,0,2,01.01.2023 15:00,Brooks J. (Eng),Tottenham Hotspur Stadium (London),62 850,61 651,Tottenham Hotspur Stadium,London,Tottenham Hotspur Stadium,Tottenham,London,2019,,62850,105.0,68.0,51°36′17″N,000°03′59″W,-0.0663888888888888,51.60472222222222,2023-01-01T15:00,10.6,0.0,18.7,85,100,2
596,Brighton,Arsenal,2,4,31.12.2022 18:30,18,68,32,9,14,5,7,2,3,2,4,10,12,7,4,5,0,26,13,3,3,7,11,3,3,597,288,527,209,8,19,98,72,49,36,0,0,22-23,-1.0,-1.0,0,0,2,4,31.12.2022 18:30,Taylor A. (Eng),Amex Stadium (Brighton),31 876,31 647,Amex Stadium,Brighton,Falmer Stadium,Brighton,Falmer,2011,,31876,105.0,68.0,50°51′42.56″N,00°04′59.8″W,-0.0832777777777777,50.86182222222222,2022-12-31T18:30,12.0,0.7,43.2,90,100,6
597,Bournemouth,Crystal Palace,0,2,31.12.2022 16:00,18,59,41,6,15,2,6,3,4,1,5,12,14,2,7,1,1,41,28,4,2,17,11,4,1,455,317,342,218,17,31,94,105,56,48,0,0,22-23,-1.0,-1.0,0,0,0,2,31.12.2022 16:00,Marriner A. (Eng),Vitality Stadium (Bournemouth),11 307,9 972,Vitality Stadium,Bournemouth,Dean Court,Bournemouth,Bournemouth,1910,,11307,105.0,68.0,50°44′07″N,1°50′18″W,-1.8383333333333332,50.73527777777778,2022-12-31T16:00,12.5,0.7,42.2,87,100,2
598,Fulham,Southampton,2,1,31.12.2022 16:00,18,62,38,8,9,2,3,5,4,1,2,11,9,4,4,1,0,31,30,2,1,8,13,0,1,579,342,464,224,19,21,152,97,46,25,0,0,22-23,-1.0,-1.0,0,0,2,1,31.12.2022 16:00,Scott G. (Eng),Craven Cottage (London),26 600,24 344,Craven Cottage,London,Craven Cottage,Fulham,London,1896,,24500,100.0,65.0,51°28′30″N,000°13′18″W,-0.2216666666666666,51.475,2022-12-31T16:00,12.8,0.2,35.8,85,100,3
599,Manchester City,Everton,1,1,31.12.2022 16:00,18,74,26,16,2,3,1,6,0,7,1,13,16,7,1,3,2,27,11,0,2,13,14,3,4,662,238,597,185,13,13,145,45,87,16,0,0,22-23,-1.0,-1.0,0,0,1,1,31.12.2022 16:00,Madley A. (Eng),Etihad Stadium (Manchester),55 097,53 444,Etihad Stadium,Manchester,City of Manchester Stadium,Manchester City,Manchester,2003[17],,53400,105.0,68.0,53°28′59″N,002°12′01″W,-2.200277777777778,53.48305555555556,2022-12-31T16:00,10.2,0.2,18.1,87,100,2
600,Newcastle,Leeds,0,0,31.12.2022 16:00,18,59,41,16,8,5,1,9,3,2,4,17,17,9,3,3,0,35,17,1,5,13,19,3,5,419,297,324,189,16,32,122,75,66,18,0,0,22-23,-1.0,-1.0,0,0,0,0,31.12.2022 16:00,Hooper S. (Eng),St. James' Park (Newcastle),52 305,52 211,St. James' Park,Newcastle,St James' Park,Newcastle,Newcastle upon Tyne,1880,,52257,105.0,68.0,54°58′32″N,001°37′18″W,-1.6216666666666666,54.97555555555556,2022-12-31T16:00,6.3,0.7,9.1,95,100,0
601,Wolves,Manchester Utd,0,1,31.12.2022 13:30,18,46,54,10,16,3,6,1,5,6,5,13,13,7,5,1,2,18,18,5,3,11,11,1,3,394,484,299,394,16,17,96,108,45,58,0,0,22-23,-1.0,-1.0,0,0,0,1,31.12.2022 13:30,Jones R. (Eng),Molineux Stadium (Wolverhampton),31 750,31 658,Molineux Stadium,Wolverhampton,Molineux Stadium,Wolves,Wolverhampton,1889,,31750,105.0,68.0,52°35′25″N,002°07′49″W,-2.1302777777777777,52.59027777777778,2022-12-31T13:30,10.8,0.0,18.6,91,100,1
602,Liverpool,Leicester,2,1,30.12.2022 21:00,18,57,43,21,7,5,2,10,3,6,2,18,10,4,5,2,5,19,14,1,4,8,15,0,1,588,448,486,338,18,14,138,73,69,29,0,0,22-23,-1.0,-1.0,0,0,2,1,30.12.2022 21:00,Pawson C. (Eng),Anfield (Liverpool),61 276,53 343,Anfield,Liverpool,Anfield,Liverpool,Liverpool,1884,,61276,101.0,68.0,53°25′51″N,002°57′39″W,-2.960833333333333,53.43083333333333,2022-12-30T21:00,8.6,0.0,27.3,76,99,3
603,West Ham,Brentford,0,2,30.12.2022 20:45,18,63,37,20,9,5,6,9,2,6,1,3,7,8,1,0,0,27,14,4,5,9,5,1,0,570,348,494,260,12,16,137,73,71,20,0,0,22-23,-1.0,-1.0,0,0,0,2,30.12.2022 20:45,England D. (Eng),London Stadium (London),62 500,62 467,London Stadium,London,London StadiumFormerly Olympic Stadium,West Ham,London,2016[28],,62500,105.0,68.0,51°32′19″N,0°0′59″W,-0.0163888888888888,51.53861111111111,2022-12-30T20:45,11.2,0.0,25.5,85,68,2
