,home_team,away_team,home_goals_x,away_goals_x,date_x,round,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,season,Expected Goals (xG)_home,Expected Goals (xG)_away,Clearances Completed_home,Clearances Completed_away,home_goals_y,away_goals_y,date_y,referee,stadium,capacity,attendance,stadium name,stadium city,Stadium,Club,Location,Opened,Closed,Capacity,Pitch length m,Pitch width m,latitude,longitude,longitude_decimal,latitude_decimal,transformed_date,weather_temperature_[C],weather_precipitation_[mm],weather_wind_[km/h],weather_humidity_[%],weather_cloud_cover_[%],sum_of_goals
20,Wolves,Norwich,1,1,15.05.2022 15:00,37,64,36,17,11,4,2,7,8,6,1,7,4,5,3,0,0,18,18,1,3,5,10,0,3,613,350,513,254,8,24,148,51,90,20,0,0,21-22,-1.0,-1.0,0,0,1,1,15.05.2022 15:00,Harrington T. (Eng),Molineux Stadium (Wolverhampton),31 750,31 219,Molineux Stadium,Wolverhampton,Molineux Stadium,Wolves,Wolverhampton,1889,,31750,105.0,68.0,52°35′25″N,002°07′49″W,-2.1302777777777777,52.59027777777778,2022-05-15T15:00,18.2,0.0,18.9,65,59,2
21,Tottenham,Burnley,1,0,15.05.2022 13:00,37,69,31,21,8,8,1,7,6,6,1,9,13,8,2,1,2,20,15,1,7,12,8,3,2,647,299,566,221,9,17,116,97,77,33,0,0,21-22,-1.0,-1.0,0,0,1,0,15.05.2022 13:00,Friend K. (Eng),Tottenham Hotspur Stadium (London),62 850,61 729,Tottenham Hotspur Stadium,London,Tottenham Hotspur Stadium,Tottenham,London,2019,,62850,105.0,68.0,51°36′17″N,000°03′59″W,-0.0663888888888888,51.60472222222222,2022-05-15T13:00,17.8,1.3,12.2,81,90,1
22,Tottenham,Arsenal,3,0,12.05.2022 20:45,22,58,42,16,9,6,5,5,2,5,2,13,8,2,2,1,0,7,16,5,3,8,15,1,5,561,412,498,346,16,6,120,76,43,45,0,1,21-22,-1.0,-1.0,0,0,3,0,12.05.2022 20:45,Tierney P. (Eng),Tottenham Hotspur Stadium (London),62 850,62 027,Tottenham Hotspur Stadium,London,Tottenham Hotspur Stadium,Tottenham,London,2019,,62850,105.0,68.0,51°36′17″N,000°03′59″W,-0.0663888888888888,51.60472222222222,2022-05-12T20:45,13.0,0.0,13.9,60,17,3
23,Wolves,Manchester City,1,5,11.05.2022 21:15,33,34,66,7,15,3,5,3,9,1,1,13,4,6,2,2,3,9,12,0,2,2,11,0,1,383,787,319,721,16,22,49,136,23,49,0,0,21-22,-1.0,-1.0,0,0,1,5,11.05.2022 21:15,Atkinson M. (Eng),Molineux Stadium (Wolverhampton),31 750,32 000,Molineux Stadium,Wolverhampton,Molineux Stadium,Wolves,Wolverhampton,1889,,31750,105.0,68.0,52°35′25″N,002°07′49″W,-2.1302777777777777,52.59027777777778,2022-05-11T21:15,10.0,0.0,11.0,75,2,6
24,Leicester,Norwich,3,0,11.05.2022 20:45,21,65,35,20,9,8,5,5,4,7,0,4,11,10,2,1,0,25,18,5,5,10,5,0,0,639,354,554,278,24,19,132,70,61,33,0,0,21-22,-1.0,-1.0,0,0,3,0,11.05.2022 20:45,Hooper S. (Eng),King Power Stadium (Leicester),32 261,38 092,King Power Stadium,Leicester,King Power StadiumFormerly Walkers Stadium,Leicester,Leicester,2002,,32262,105.0,68.0,52°37′13″N,001°08′32″W,-1.1422222222222222,52.62027777777778,2022-05-11T20:45,10.8,0.0,11.3,71,1,3
25,Watford,Everton,0,0,11.05.2022 20:45,30,48,52,6,16,0,5,5,4,1,7,9,4,1,13,1,1,12,17,5,0,5,12,1,2,470,488,385,384,15,25,84,128,35,66,0,0,21-22,-1.0,-1.0,0,0,0,0,11.05.2022 20:45,Dean M. (Eng),Vicarage Road (Watford),22 200,20 653,Vicarage Road,Watford,Vicarage Road,Watford,Watford,1922,,22200,105.0,68.0,51°39′00″N,000°24′06″W,-0.4016666666666666,51.65,2022-05-11T20:45,11.6,0.0,10.7,78,3,0
26,Leeds,Chelsea,0,3,11.05.2022 20:30,33,32,68,5,17,0,4,4,10,1,3,17,9,1,4,0,3,18,11,1,0,10,14,1,0,379,817,290,730,16,17,73,159,19,61,1,0,21-22,-1.0,-1.0,0,0,0,3,11.05.2022 20:30,Taylor A. (Eng),Elland Road (Leeds),37 792,36 549,Elland Road,Leeds,Elland Road,Leeds,Leeds,1897,,37608,105.0,68.0,53°46′40″N,001°34′20″W,-1.5722222222222222,53.77777777777778,2022-05-11T20:30,10.6,0.0,16.9,71,0,3
27,Aston Villa,Liverpool,1,2,10.05.2022 21:00,33,39,61,9,17,4,6,5,8,0,3,14,11,2,3,3,2,24,20,4,3,10,12,0,0,343,530,258,441,12,15,77,133,40,52,0,0,21-22,-1.0,-1.0,0,0,1,2,10.05.2022 21:00,Moss J. (Eng),Villa Park (Birmingham),42 789,41 919,Villa Park,Birmingham,Villa Park,Aston Villa,Birmingham,1897,,42530,105.0,68.0,52°30′33″N,001°53′05″W,-1.8847222222222224,52.509166666666665,2022-05-10T21:00,12.6,0.0,17.9,65,84,3
28,Manchester City,Newcastle,5,0,08.05.2022 17:30,36,71,29,21,7,9,3,8,3,4,1,14,7,8,2,1,4,12,9,3,4,6,11,1,3,712,281,645,216,8,19,139,61,77,27,0,0,21-22,-1.0,-1.0,0,0,5,0,08.05.2022 17:30,Attwell S. (Eng),Etihad Stadium (Manchester),55 097,53 336,Etihad Stadium,Manchester,City of Manchester Stadium,Manchester City,Manchester,2003[17],,53400,105.0,68.0,53°28′59″N,002°12′01″W,-2.200277777777778,53.48305555555556,2022-05-08T17:30,16.3,0.0,11.2,62,98,5
29,Arsenal,Leeds,2,1,08.05.2022 15:00,36,63,37,19,3,9,2,8,0,2,1,11,14,8,2,1,0,30,10,1,7,13,15,2,2,621,364,556,285,16,24,152,36,109,16,0,1,21-22,-1.0,-1.0,0,0,2,1,08.05.2022 15:00,Kavanagh C. (Eng),Emirates Stadium (London),60 704,60 108,Emirates Stadium,London,Emirates Stadium,Arsenal,London,2006,,60704,105.0,68.0,51°33′18″N,000°06′31″W,-0.1086111111111111,51.555,2022-05-08T15:00,16.9,0.0,10.5,51,26,3
30,Leicester,Everton,1,2,08.05.2022 15:00,36,66,34,16,10,9,4,6,3,1,3,6,12,6,1,2,0,29,15,2,8,11,6,3,0,631,332,545,239,16,13,122,93,54,39,0,0,21-22,-1.0,-1.0,0,0,1,2,08.05.2022 15:00,Pawson C. (Eng),King Power Stadium (Leicester),32 261,32 001,King Power Stadium,Leicester,King Power StadiumFormerly Walkers Stadium,Leicester,Leicester,2002,,32262,105.0,68.0,52°37′13″N,001°08′32″W,-1.1422222222222222,52.62027777777778,2022-05-08T15:00,16.6,0.0,4.5,57,100,3
31,Norwich,West Ham,0,4,08.05.2022 15:00,36,37,63,8,13,2,5,2,3,4,5,9,5,9,5,2,3,8,16,1,2,7,7,1,1,384,679,328,616,12,12,87,104,44,49,0,0,21-22,-1.0,-1.0,0,0,0,4,08.05.2022 15:00,Jones R. (Eng),Carrow Road (Norwich),27 137,27 000,Carrow Road,Norwich,Carrow Road,Norwich,Norwich,1935,,27359,105.0,68.0,52°37′20″N,001°18′33″E,1.3091666666666668,52.62222222222222,2022-05-08T15:00,13.0,0.0,9.8,61,3,4
32,Liverpool,Tottenham,1,1,07.05.2022 20:45,36,65,35,22,8,3,3,6,2,13,3,4,12,11,5,0,0,19,20,2,2,12,8,3,2,618,338,529,249,19,20,166,48,99,28,0,0,21-22,-1.0,-1.0,0,0,1,1,07.05.2022 20:45,Oliver M. (Eng),Anfield (Liverpool),61 276,54 000,Anfield,Liverpool,Anfield,Liverpool,Liverpool,1884,,61276,101.0,68.0,53°25′51″N,002°57′39″W,-2.960833333333333,53.43083333333333,2022-05-07T20:45,12.6,0.0,17.3,75,100,2
33,Brighton,Manchester Utd,4,0,07.05.2022 18:30,36,42,58,17,15,6,5,7,7,4,3,10,12,7,6,3,3,17,13,5,2,13,9,0,2,373,526,293,445,11,13,90,82,58,42,0,0,21-22,-1.0,-1.0,0,0,4,0,07.05.2022 18:30,Madley A. (Eng),Amex Stadium (Brighton),31 876,31 637,Amex Stadium,Brighton,Falmer Stadium,Brighton,Falmer,2011,,31876,105.0,68.0,50°51′42.56″N,00°04′59.8″W,-0.0832777777777777,50.86182222222222,2022-05-07T18:30,15.0,0.1,11.5,78,19,4
